2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Rabieta | Rabieta Cerveza Irish Red Ale 1 X 473 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Antares | Antares Kolsch Cerveza 1 X 473 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Bitburger | Bitburger Cerveza 1 X 330 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Miller | Miller Cerveza Genuine Draft en Lata 1 X 710 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Grolsch | Grolsch Cerveza Ipa 1 X 473 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Rabieta | Rabieta Cerveza Golden Ale 1 X 473 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Salta | Salta Cerveza Session Ipa 1 x 473 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Blue Moon | Blue Moon Belgian White Lata 473 ml 1 x 473 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Bitburger | Bitburger Cerveza 1 X 500 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Kostritzer | Kostritzer Cerveza Schwarzbier 1 X 500 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Kunstmann | Cerveza Kunstmann Session Ipa 470ml 1 X 470 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Warsteiner | Warsteiner Cerveza 330 ml 1 x 330 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Estrella Galicia | Estrella Galicia Cerveza sin Gluten Lata 330ml 1 x 330 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Stella Artois | Stella Artois Cerveza Pure Gold 1 x 330 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-11_AM.csv: SKU nuevo sin catalogo -> 'Heineken | Heineken Cerveza 0.0 Lata 330ml 1 X 330 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-12_AM.csv: SKU nuevo sin catalogo -> 'Schneider | Schneider Cerveza Lager 1 X 710 mL' (agregado como 'Sin clasificar', revisar data/catalog.json)
